1	8
1	47
1	58
1	87
2	32
2	56
2	67
2	96
2	99
3	9
3	11
3	56
3	60
3	96
4	55
4	68
4	74
4	85
5	45
5	61
5	78
5	95
6	63
6	66
6	81
6	85
6	99
7	29
7	40
7	44
7	57
7	62
8	48
8	50
8	52
8	54
8	73
9	45
9	56
9	75
9	76
9	99
10	23
10	43
10	44
10	65
10	100
11	24
11	60
11	63
11	87
11	99
12	8
12	29
12	58
12	87
12	92
13	7
13	22
13	77
13	91
13	98
14	18
14	25
14	51
14	71
14	79
14	97
15	8
15	48
15	50
15	83
15	92
16	35
16	43
16	80
16	82
16	100
17	20
17	26
17	63
17	65
17	93
18	25
18	86
18	90
18	94
18	97
19	39
19	46
19	66
19	98
20	6
20	67
20	82
20	93
21	5
21	17
21	39
21	91
22	19
22	21
22	41
22	46
23	17
23	35
23	53
23	80
24	11
24	32
24	67
24	76
25	79
25	86
25	90
25	97
26	42
26	49
26	59
26	63
27	20
27	34
27	68
27	84
28	68
28	70
28	84
28	88
29	22
29	36
29	57
29	89
30	31
30	69
30	80
30	100
31	59
31	84
31	93
31	100
32	2
32	24
32	28
32	88
33	45
33	78
33	91
33	95
34	4
34	28
34	70
34	74
35	23
35	41
35	80
35	100
36	19
36	38
36	66
36	95
37	27
37	30
37	55
37	70
38	46
38	68
38	91
38	98
39	13
39	29
39	89
39	91
40	7
40	39
40	61
40	89
41	10
41	17
41	31
41	43
42	10
42	53
42	82
42	96
43	6
43	16
43	42
43	100
44	21
44	24
44	61
44	78
45	57
45	62
45	94
45	98
46	5
46	13
46	77
46	89
47	6
47	52
47	64
47	83
48	50
48	72
48	81
48	92
49	71
49	86
49	90
49	94
50	1
50	64
50	72
50	92
51	71
51	79
51	94
51	97
52	15
52	69
52	81
52	83
53	16
53	26
53	80
53	93
54	1
54	15
54	52
54	87
55	34
55	37
55	74
55	85
56	2
56	3
56	32
56	33
57	5
57	89
57	91
57	95
58	1
58	12
58	69
58	87
59	10
59	71
59	92
59	93
60	4
60	76
60	96
60	99
61	38
61	77
61	95
61	98
62	7
62	22
62	40
62	45
63	26
63	31
63	59
63	82
64	12
64	15
64	72
64	73
65	16
65	30
65	53
65	93
66	33
66	36
66	91
66	98
67	9
67	55
67	75
67	76
68	77
68	84
68	86
68	88
69	48
69	52
69	81
69	92
70	27
70	55
70	74
70	88
71	49
71	79
71	94
71	97
72	47
72	64
72	73
72	81
73	50
73	54
73	72
73	83
74	4
74	37
74	70
74	85
75	2
75	3
75	96
75	99
76	56
76	60
76	75
76	96
77	62
77	65
77	78
77	98
78	11
78	40
78	66
78	95
79	49
79	51
79	86
79	90
80	23
80	35
80	42
80	53
81	3
81	12
81	64
81	92
82	43
82	58
82	65
82	100
83	54
83	58
83	73
83	87
84	28
84	37
84	85
84	88
85	27
85	34
85	84
85	88
86	14
86	49
86	90
86	94
86	97
87	47
87	54
87	69
87	83
88	74
88	75
88	84
88	85
89	19
89	33
89	44
89	95
90	14
90	25
90	71
90	94
91	36
91	44
91	57
91	89
92	48
92	51
92	72
92	83
93	41
93	61
93	73
93	82
94	18
94	86
94	90
94	97
95	21
95	62
95	77
95	82
96	67
96	76
96	93
96	99
97	14
97	18
97	51
97	79
98	13
98	38
98	46
98	78
99	9
99	60
99	75
99	96
100	20
100	30
100	47
100	59
